"","names","transcript_id","cell_components_terms","mol_functions_terms","bio_process_terms","length"
"108","Sc_g00098: protein root UVB sensitive 6","Sc_g00098","","","",1506
"109","Sc_g00099: ethylene-responsive transcription factor 2-like","Sc_g00099"," nucleus","DNA binding, DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",771
"110","Sc_g00100: protein SPIRRIG-like","Sc_g00100","","protein binding, metal ion binding","",11127
"111","Sc_g00101: uncharacterized protein LOC112283424 isoform X1","Sc_g00101","","","",3783
"112","Sc_g00102: RGG repeats nuclear RNA binding protein A-like","Sc_g00102","","RNA binding","",1723
"113","Sc_g00103: mitochondrial substrate carrier family protein B-like","Sc_g00103","integral component of membrane"," transferase activity, transmembrane transporter activity"," transmembrane transport",573
"114","Sc_g00103: mitochondrial substrate carrier family protein B-like","Sc_g00103","integral component of membrane"," transmembrane transporter activity","",480
"115","Sc_g00104: protein-lysine methyltransferase C42C1.13-like isoform X1","Sc_g00104",""," protein methyltransferase activity","protein methylation",123
"116","Sc_g00105: fasciclin-like arabinogalactan protein 14","Sc_g00105","membrane, integral component of membrane","","",945
"117","Sc_g00106: increased DNA methylation 1-like","Sc_g00106","","metal ion binding","",837
"118","Sc_g00107: histone H3","Sc_g00107","nucleosome, nucleus"," nucleosomal DNA binding, protein heterodimerization activity"," nucleosome assembly",477
"119","Sc_g00108: ---NA---","Sc_g00108","","","",408
"120","Sc_g00109: trihelix transcription factor ASIL2","Sc_g00109","","DNA-binding transcription factor activity"," regulation of transcription, DNA-templated",1869
"121","Sc_g00110: probable ADP,ATP carrier protein At5g56450","Sc_g00110"," mitochondrial inner membrane, integral component of membrane","ATP:ADP antiporter activity","F:ATADP antiporter activity, ADP transport, ATP transport, anther development, transmembrane transport",1041
"122","Sc_g00111: mitochondrial uncoupling protein 5-like","Sc_g00111"," membrane"," sulfate transmembrane transporter activity, thiosulfate transmembrane transporter activity, oxaloacetate transmembrane transporter activity, malate transmembrane transporter activity, succinate transmembrane transporter activity, antiporter activity","sulfate transport, thiosulfate transport, oxaloacetate transport, phosphate ion transmembrane transport, succinate transmembrane transport, malate transmembrane transport",303
"123","Sc_g00112: serine/threonine-protein phosphatase PP2A catalytic subunit","Sc_g00112","","phosphoprotein phosphatase activity"," protein dephosphorylation",1518
"124","Sc_g00113: hypothetical protein PHYPA_016582","Sc_g00113","","","",168
"125","Sc_g00114: probable xyloglucan galactosyltransferase GT20","Sc_g00114"," integral component of membrane"," transferase activity, transferring glycosyl groups","protein glycosylation",1467
"126","Sc_g00115: 40S ribosomal protein S18","Sc_g00115"," cytosol, ribosome","RNA binding, structural constituent of ribosome"," translation",621
"127","Sc_g00116: glycerol-3-phosphate 2-O-acyltransferase 6-like","Sc_g00116"," integral component of membrane"," phosphatase activity, glycerol-3-phosphate 2-O-acyltransferase activity","cutin biosynthetic process, dephosphorylation",834
"128","Sc_g00117: SNARE associated Golgi protein family","Sc_g00117","integral component of membrane","","",1592
"129","Sc_g00118: paladin isoform X1","Sc_g00118"," cytoplasm","protein tyrosine phosphatase activity"," peptidyl-tyrosine dephosphorylation",3795
"130","Sc_g00119: microtubule-associated protein futsch-like","Sc_g00119","","","",4913
"131","Sc_g00120: hypothetical protein PHYPA_007025","Sc_g00120","","","",342
"132","Sc_g00121: uncharacterized protein LOC112282663","Sc_g00121","","","",675
"133","Sc_g00122: succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","Sc_g00122","mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone), plasma membrane succinate dehydrogenase complex"," succinate dehydrogenase (ubiquinone) activity, electron transfer activity, flavin adenine dinucleotide binding"," tricarboxylic acid cycle, mitochondrial electron transport, succinate to ubiquinone, anaerobic respiration",1803
"134","Sc_g00123: ---NA---","Sc_g00123","","","",514
"135","Sc_g00124: serine/threonine-protein kinase PBL27","Sc_g00124","","protein serine/threonine kinase activity, ATP binding"," protein phosphorylation",900
"136","Sc_g00125: putative C18orf8","Sc_g00125"," Mon1-Ccz1 complex","","regulation of autophagy",2551
"137","Sc_g00125: regulator of MON1-CCZ1 complex","Sc_g00125"," Mon1-Ccz1 complex","","regulation of autophagy",2919
"138","Sc_g00126: Wilms tumor","Sc_g00126","","","",1877
"139","Sc_g00127: pentatricopeptide repeat-containing protein At4g30825, chloroplastic","Sc_g00127","","protein binding","",2331
"140","Sc_g00128: uncharacterized protein LOC112294457 isoform X4","Sc_g00128","","zinc ion binding","",666
"141","Sc_g00129: peptidyl-prolyl cis-trans isomerase FKBP15-1","Sc_g00129","","isomerase activity","",369
"142","Sc_g00130: type II inositol polyphosphate 5-phosphatase 15-like","Sc_g00130","","protein binding","",3618
"143","Sc_g00131: reverse transcriptase","Sc_g00131","","nucleic acid binding, RNA-directed DNA polymerase activity, RNA-DNA hybrid ribonuclease activity"," RNA-dependent DNA biosynthetic process, RNA phosphodiester bond hydrolysis, endonucleolytic",636
"144","Sc_g00132: chaperone protein dnaJ 15-like","Sc_g00132","","","positive gravitropism",1919
"145","Sc_g00133: protein EMSY-LIKE 3 isoform X1","Sc_g00133","","","defense response to fungus",1545
"146","Sc_g00134: protein NRT1/ PTR FAMILY 8.2-like","Sc_g00134","integral component of membrane"," transmembrane transporter activity"," transmembrane transport",2172
"147","Sc_g00135: uncharacterized protein LOC112273614","Sc_g00135","","calcium ion binding","",417
"148","Sc_g00136: Calcium-binding mitochondrial carrier SCaMC-1","Sc_g00136","","calcium ion binding","",201
"149","Sc_g00137: methyltransferase-like protein 1","Sc_g00137","","nucleic acid binding, methyltransferase activity"," methylation",4374
"150","Sc_g00138: DNA polymerase I B, chloroplastic/mitochondrial-like isoform X1","Sc_g00138","","DNA binding, DNA-directed DNA polymerase activity, 3'-5' exonuclease activity"," DNA-dependent DNA replication, DNA biosynthetic process, nucleic acid phosphodiester bond hydrolysis",1566
"151","Sc_g00139: protein LONGIFOLIA 1 isoform X4","Sc_g00139","","","regulation of monopolar cell growth",3345
"152","Sc_g00140: uncharacterized protein LOC112284335","Sc_g00140","","aspartic-type endopeptidase activity"," proteolysis",3016
"153","Sc_g00140: uncharacterized protein LOC112284335","Sc_g00140","","aspartic-type endopeptidase activity"," proteolysis",672
"154","Sc_g00141: cytochrome P450 71AV8-like","Sc_g00141"," integral component of membrane","monooxygenase activity, iron ion binding, oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, heme binding"," oxidation-reduction process",360
"155","Sc_g00142: uncharacterized protein LOC112278457","Sc_g00142","plasma membrane","","",2337
"156","Sc_g00143: pentatricopeptide repeat-containing protein At3g24000, mitochondrial-like isoform X1","Sc_g00143","","binding","",153
"157","Sc_g00144: 40S ribosomal protein S15a-like","Sc_g00144"," cytosolic small ribosomal subunit","structural constituent of ribosome"," translation",726
"158","Sc_g00145: phosphatase 2C","Sc_g00145"," membrane","phosphoprotein phosphatase activity","",974
"159","Sc_g00145: phosphatase 2C","Sc_g00145"," membrane","phosphoprotein phosphatase activity","",1227
"160","Sc_g00146: clustered mitochondria protein","Sc_g00146"," cytoplasm","RNA binding, protein binding"," intracellular distribution of mitochondria",4959
"161","Sc_g00147: transforming growth factor-beta receptor-associated protein 1","Sc_g00147","cytosol, CORVET complex",""," intracellular protein transport, root morphogenesis, vesicle-mediated transport",3150
"162","Sc_g00148: mitogen-activated protein kinase kinase kinase 1","Sc_g00148","","ubiquitin protein ligase activity","",597
"163","Sc_g00149: protein PHOTOSYSTEM I ASSEMBLY 2, chloroplastic-like","Sc_g00149","","","",225
"164","Sc_g00150: random slug protein 5-like isoform X1","Sc_g00150","","","",261
"165","Sc_g00151: F-box/kelch-repeat protein At1g51550","Sc_g00151","","protein binding","",1071
"166","Sc_g00152: ubiquitin thioesterase otubain-like","Sc_g00152"," nucleus","thiol-dependent ubiquitin-specific protease activity, NEDD8-specific protease activity, ubiquitin binding"," protein K48-linked deubiquitination",1365
"167","Sc_g00153: serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform","Sc_g00153","protein phosphatase type 2A complex, cytoplasm"," protein serine/threonine phosphatase activity, protein binding, protein phosphatase regulator activity"," regulation of phosphoprotein phosphatase activity",2248
"168","Sc_g00154: mechanosensitive ion channel protein 1, mitochondrial-like","Sc_g00154","integral component of membrane",""," transmembrane transport",2974
"169","Sc_g00154: mechanosensitive ion channel protein 1, mitochondrial-like","Sc_g00154","integral component of membrane",""," transmembrane transport",3151
"170","Sc_g00154: mechanosensitive ion channel protein 1, mitochondrial-like","Sc_g00154","integral component of membrane",""," transmembrane transport",486
"171","Sc_g00155: armadillo repeat-containing protein 6","Sc_g00155","","","",1017
"172","Sc_g00156: ---NA---","Sc_g00156","","","",1124
"173","Sc_g00157: PHD finger protein ALFIN-LIKE 3-like","Sc_g00157",""," histone binding, metal ion binding","regulation of transcription, DNA-templated",1546
"174","Sc_g00158: 17-beta-hydroxysteroid dehydrogenase type 6 like","Sc_g00158","","","",147
"175","Sc_g00159: SAC3 family protein A-like","Sc_g00159","nucleus","","",1953
"176","Sc_g00160: hypothetical protein PHYPA_016582","Sc_g00160","","","",321
"177","Sc_g00161: uncharacterized protein LOC112293402","Sc_g00161","","","",1226
"178","Sc_g00162: probable tRNA (guanine(26)-N(2))-dimethyltransferase 2","Sc_g00162"," nucleus, mitochondrion","tRNA binding, tRNA (guanine-N2-)-methyltransferase activity"," tRNA N2-guanine methylation",2509
"179","Sc_g00163: protein argonaute 16-like","Sc_g00163","","nucleic acid binding, protein binding","",1841
"180","Sc_g00164: tRNA-splicing endonuclease subunit","Sc_g00164","","","RNA metabolic process",294
"181","Sc_g00165: hypothetical protein PHYPA_002362","Sc_g00165","","","",267
"182","Sc_g00166: hypothetical protein PHYPA_029652","Sc_g00166","","","",672
"183","Sc_g00167: hypothetical protein PHYPA_014847, partial","Sc_g00167","","","",294
"184","Sc_g00168: hypothetical protein CBR_g24421","Sc_g00168","","","",627
"185","Sc_g00169: hypothetical protein PHYPA_010963","Sc_g00169","","nuclease activity"," DNA repair, nucleic acid phosphodiester bond hydrolysis",810
"186","Sc_g00170: UPF0187 protein At3g61320, chloroplastic-like","Sc_g00170","integral component of membrane","","",573
"187","Sc_g00171: hypothetical protein PHYPA_018827","Sc_g00171","membrane","","",147
"188","Sc_g00172: hypothetical protein PHYPA_013307","Sc_g00172","","","",532
"189","Sc_g00173: Glycosyltransferase family 61 protein","Sc_g00173","integral component of membrane"," transferase activity, transferring glycosyl groups","",1626
"190","Sc_g00174: pyridoxal reductase, chloroplastic","Sc_g00174"," chloroplast"," oxidoreductase activity, 17-alpha,20-alpha-dihydroxypregn-4-en-3-one dehydrogenase activity, pyridoxine:NADP 4-dehydrogenase activity, NADPH binding","pyridoxal 5'-phosphate salvage, pyridoxal biosynthetic process, oxidation-reduction process",534
"191","Sc_g00175: phytochrome","Sc_g00175"," intracellular","phosphorelay sensor kinase activity, photoreceptor activity, protein homodimerization activity"," phosphorelay signal transduction system, regulation of transcription, DNA-templated, detection of visible light, red, far-red light phototransduction, protein-tetrapyrrole linkage, protein-chromophore linkage, signal transduction by protein phosphorylation",4261
"192","Sc_g00176: putative deoxyribonuclease TATDN1","Sc_g00176",""," 3'-5'-exodeoxyribonuclease activity, endodeoxyribonuclease activity, producing 5'-phosphomonoesters","DNA metabolic process, nucleic acid phosphodiester bond hydrolysis",531
"193","Sc_g00177: peptidyl-prolyl cis-trans isomerase CYP63-like isoform X1","Sc_g00177",""," peptidyl-prolyl cis-trans isomerase activity","protein peptidyl-prolyl isomerization, protein folding",2614
"194","Sc_g00178: selenoprotein H","Sc_g00178","Golgi apparatus","","",1645
"195","Sc_g00179: cytochrome c oxidase subunit 1 (mitochondrion)","Sc_g00179"," mitochondrial respiratory chain complex IV, integral component of membrane","cytochrome-c oxidase activity, heme binding"," mitochondrial electron transport, cytochrome c to oxygen, electron transport coupled proton transport",943
"196","Sc_g00180: arginase 1, mitochondrial","Sc_g00180","","arginase activity, metal ion binding","",2066
"197","Sc_g00181: cleft lip and palate transmembrane protein 1 homolog","Sc_g00181","integral component of membrane","","",2174
"198","Sc_g00182: uncharacterized protein LOC112294457 isoform X1","Sc_g00182","","zinc ion binding","",432
"199","Sc_g00183: PTI1-like tyrosine-protein kinase At3g15890","Sc_g00183","","protein kinase activity, ATP binding"," protein phosphorylation",600
"200","Sc_g00184: PTI1-like tyrosine-protein kinase At3g15890 isoform X1","Sc_g00184","","protein kinase activity, ATP binding"," protein phosphorylation",210
"201","Sc_g00185: transportin-1-like isoform X1","Sc_g00185"," nuclear membrane, nuclear periphery"," nuclear localization sequence binding, Ran GTPase binding","NLS-bearing protein import into nucleus, ribosomal protein import into nucleus",2514
"202","Sc_g00186: triosephosphate isomerase, chloroplastic","Sc_g00186"," cytosol, chloroplast part","triose-phosphate isomerase activity"," gluconeogenesis, glycolytic process, glycerol catabolic process, multicellular organismal process, glyceraldehyde-3-phosphate biosynthetic process",258
"203","Sc_g00187: probable histidine kinase 1 isoform X2","Sc_g00187",""," protein binding","phosphorelay signal transduction system",1626
"204","Sc_g00188: zinc-finger homeodomain protein 4","Sc_g00188","","DNA binding","",855
"205","Sc_g00189: post-GPI attachment to proteins factor 3-like isoform X1","Sc_g00189"," integral component of membrane, intrinsic component of endoplasmic reticulum membrane"," hydrolase activity, acting on ester bonds","GPI anchor biosynthetic process",573
"206","Sc_g00190: EVI5-like protein","Sc_g00190"," integral component of membrane","GTPase activator activity"," positive regulation of GTPase activity",1608
"207","Sc_g00191: wall-associated receptor kinase-like 14","Sc_g00191"," integral component of membrane","protein serine/threonine kinase activity, ATP binding, electron transfer activity"," protein phosphorylation, electron transport chain",1101
"208","Sc_g00192: craniofacial development protein 1","Sc_g00192","membrane","","",273
"209","Sc_g00193: glycine dehydrogenase (decarboxylating), mitochondrial","Sc_g00193"," mitochondrion, glycine cleavage complex","glycine dehydrogenase (decarboxylating) activity, glycine binding"," glycine decarboxylation via glycine cleavage system, oxidation-reduction process",3589
"210","Sc_g00194: ---NA---","Sc_g00194","","","",27
